@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
159,67616,237,67664,334,0.995088,0.996507,0.499823,0.996507,0.500177,0.665731,0.995797,1.000713,0.17155
160,67616,237,67663,335,0.995073,0.996507,0.499826,0.996507,0.500174,0.665735,0.99579,1.000721,0.171622
161,67616,237,67662,336,0.995059,0.996507,0.49983,0.996507,0.50017,0.665738,0.995782,1.000728,0.171693
162,67616,237,67661,337,0.995044,0.996507,0.499834,0.996507,0.500166,0.665741,0.995775,1.000735,0.171724
163,67615,238,67661,337,0.995044,0.996492,0.49983,0.996492,0.50017,0.665735,0.995767,1.000728,0.172
164,67615,238,67660,338,0.995029,0.996492,0.499834,0.996492,0.500166,0.665738,0.99576,1.000735,0.172182
165,67614,239,67660,338,0.995029,0.996478,0.49983,0.996478,0.50017,0.665731,0.995753,1.000728,0.172381
166,67614,239,67659,339,0.995015,0.996478,0.499834,0.996478,0.500166,0.665735,0.995745,1.000735,0.172732
167,67614,239,67658,340,0.995,0.996478,0.499837,0.996478,0.500163,0.665738,0.995738,1.000743,0.172941
168,67614,239,67657,341,0.994985,0.996478,0.499841,0.996478,0.500159,0.665741,0.995731,1.00075,0.172941
169,67614,239,67656,342,0.99497,0.996478,0.499845,0.996478,0.500155,0.665744,0.995723,1.000758,0.173333
170,67614,239,67655,343,0.994956,0.996478,0.499848,0.996478,0.500152,0.665748,0.995716,1.000765,0.173333
171,67613,240,67655,343,0.994956,0.996463,0.499845,0.996463,0.500155,0.665741,0.995709,1.000758,0.173333
172,67611,242,67652,346,0.994912,0.996433,0.499848,0.996433,0.500152,0.665738,0.995672,1.000765,0.173578
173,67611,242,67651,347,0.994897,0.996433,0.499852,0.996433,0.500148,0.665741,0.995664,1.000772,0.173677
174,67611,242,67650,348,0.994882,0.996433,0.499856,0.996433,0.500144,0.665744,0.995657,1.00078,0.173707
175,67611,242,67649,349,0.994867,0.996433,0.49986,0.996433,0.50014,0.665748,0.99565,1.000787,0.174
176,67611,242,67648,350,0.994853,0.996433,0.499863,0.996433,0.500137,0.665751,0.995642,1.000795,0.174167
177,67611,242,67647,351,0.994838,0.996433,0.499867,0.996433,0.500133,0.665754,0.995635,1.000802,0.174222
178,67611,242,67646,352,0.994823,0.996433,0.499871,0.996433,0.500129,0.665757,0.995628,1.000809,0.174286
179,67611,242,67645,353,0.994809,0.996433,0.499874,0.996433,0.500126,0.665761,0.99562,1.000817,0.174737
180,67610,243,67645,353,0.994809,0.996419,0.499871,0.996419,0.500129,0.665754,0.995613,1.000809,0.174868
181,67609,244,67645,353,0.994809,0.996404,0.499867,0.996404,0.500133,0.665748,0.995605,1.000802,0.175
182,67605,248,67643,355,0.994779,0.996345,0.49986,0.996345,0.50014,0.665728,0.995561,1.000787,0.175385
183,67605,248,67642,356,0.994765,0.996345,0.499863,0.996345,0.500137,0.665731,0.995554,1.000795,0.175642
184,67604,249,67642,356,0.994765,0.99633,0.49986,0.99633,0.50014,0.665725,0.995547,1.000787,0.176
185,67603,250,67641,357,0.99475,0.996316,0.49986,0.996316,0.50014,0.665721,0.995532,1.000787,0.176516
186,67603,250,67640,358,0.994735,0.996316,0.499863,0.996316,0.500137,0.665725,0.995525,1.000795,0.176667
187,67603,250,67639,359,0.99472,0.996316,0.499867,0.996316,0.500133,0.665728,0.995517,1.000802,0.176742
188,67602,251,67639,359,0.99472,0.996301,0.499863,0.996301,0.500137,0.665721,0.99551,1.000795,0.177143
189,67602,251,67638,360,0.994706,0.996301,0.499867,0.996301,0.500133,0.665725,0.995502,1.000802,0.177263
190,67601,252,67638,360,0.994706,0.996286,0.499863,0.996286,0.500137,0.665718,0.995495,1.000795,0.1775
191,67599,254,67638,360,0.994706,0.996257,0.499856,0.996257,0.500144,0.665705,0.99548,1.00078,0.177692
192,67598,255,67638,360,0.994706,0.996242,0.499852,0.996242,0.500148,0.665698,0.995473,1.000772,0.178252
193,67597,256,67638,360,0.994706,0.996227,0.499848,0.996227,0.500152,0.665692,0.995466,1.000765,0.178571
194,67597,256,67637,361,0.994691,0.996227,0.499852,0.996227,0.500148,0.665695,0.995458,1.000772,0.17875
195,67596,257,67637,361,0.994691,0.996212,0.499848,0.996212,0.500152,0.665688,0.995451,1.000765,0.178824
196,67596,257,67636,362,0.994676,0.996212,0.499852,0.996212,0.500148,0.665692,0.995444,1.000772,0.179893
197,67595,258,67636,362,0.994676,0.996198,0.499848,0.996198,0.500152,0.665685,0.995436,1.000765,0.179937
198,67594,259,67636,362,0.994676,0.996183,0.499845,0.996183,0.500155,0.665679,0.995429,1.000758,0.18
199,67486,367,67523,475,0.993015,0.994591,0.499863,0.994591,0.500137,0.665339,0.993802,1.000794,0.180606
200,67486,367,67522,476,0.993,0.994591,0.499867,0.994591,0.500133,0.665342,0.993795,1.000802,0.180637
201,67485,368,67522,476,0.993,0.994577,0.499863,0.994577,0.500137,0.665336,0.993787,1.000794,0.180979
202,67484,369,67522,476,0.993,0.994562,0.499859,0.994562,0.500141,0.665329,0.99378,1.000787,0.181429
203,67483,370,67522,476,0.993,0.994547,0.499856,0.994547,0.500144,0.665323,0.993773,1.000779,0.181818
204,67483,370,67521,477,0.992985,0.994547,0.499859,0.994547,0.500141,0.665326,0.993765,1.000787,0.181887
205,67483,370,67520,478,0.99297,0.994547,0.499863,0.994547,0.500137,0.665329,0.993758,1.000794,0.181908
206,67483,370,67519,479,0.992956,0.994547,0.499867,0.994547,0.500133,0.665332,0.993751,1.000802,0.181912
207,67482,371,67519,479,0.992956,0.994532,0.499863,0.994532,0.500137,0.665326,0.993743,1.000794,0.182
208,67481,372,67519,479,0.992956,0.994518,0.499859,0.994518,0.500141,0.665319,0.993736,1.000787,0.182
209,67480,373,67519,479,0.992956,0.994503,0.499856,0.994503,0.500144,0.665313,0.993728,1.000779,0.1825
210,67479,374,67519,479,0.992956,0.994488,0.499852,0.994488,0.500148,0.665306,0.993721,1.000772,0.182879
211,67478,375,67519,479,0.992956,0.994473,0.499848,0.994473,0.500152,0.665299,0.993714,1.000764,0.183077
212,67477,376,67519,479,0.992956,0.994459,0.499844,0.994459,0.500156,0.665293,0.993706,1.000757,0.183333
213,67475,378,67518,480,0.992941,0.994429,0.499841,0.994429,0.500159,0.665283,0.993684,1.00075,0.184
214,67474,379,67516,482,0.992912,0.994414,0.499844,0.994414,0.500156,0.665283,0.993662,1.000757,0.184286
215,67474,379,67515,483,0.992897,0.994414,0.499848,0.994414,0.500152,0.665286,0.993655,1.000764,0.184444
216,67474,379,67514,484,0.992882,0.994414,0.499852,0.994414,0.500148,0.66529,0.993647,1.000772,0.184615
217,67474,379,67513,485,0.992867,0.994414,0.499856,0.994414,0.500144,0.665293,0.99364,1.000779,0.185
218,67472,381,67510,488,0.992823,0.994385,0.499859,0.994385,0.500141,0.66529,0.993603,1.000787,0.185143
219,67472,381,67509,489,0.992809,0.994385,0.499863,0.994385,0.500137,0.665293,0.993596,1.000794,0.185217
220,67471,382,67509,489,0.992809,0.99437,0.499859,0.99437,0.500141,0.665286,0.993589,1.000787,0.1856
221,67470,383,67509,489,0.992809,0.994355,0.499856,0.994355,0.500144,0.66528,0.993581,1.000779,0.185714
222,67468,385,67509,489,0.992809,0.994326,0.499848,0.994326,0.500152,0.665266,0.993566,1.000764,0.185957
223,67468,385,67508,490,0.992794,0.994326,0.499852,0.994326,0.500148,0.66527,0.993559,1.000772,0.186364
